date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:59	46078/46078	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Oct%202021%2015:37:58%20GMT	https://demo.datengdong.com/creamymami	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/creamymami.html	(from )
22:37:59	24/24	---M--	200	added ('OK')	text/plain	date:Sun,%2001%20Nov%202020%2016:54:36%20GMT	https://demo.datengdong.com/robots.txt		(from )
22:38:00	1273/1273	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2016:54:36%20GMT	https://demo.datengdong.com/images/favicon.png	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/images/favicon.png	(from https://demo.datengdong.com/creamymami)
22:38:01	31022/31022	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2019:22:37%20GMT	https://demo.datengdong.com/uploads/thumbs/gallery/1949d9111354e8962623050b26440179f5caddd0MS.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/thumbs/gallery/1949d9111354e8962623050b26440179f5caddd0MS.jpg	(from https://demo.datengdong.com/creamymami)
22:38:01	41970/41970	---MCZ	200	added ('OK')	text/html	date:Thu,%2007%20Oct%202021%2015:38:01%20GMT	https://demo.datengdong.com/	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/index.html	(from https://demo.datengdong.com/creamymami)
22:38:02	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%225eb04010-26f1b%22	https://cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/weddingfix/cdnjs.cloudflare.com/ajax/libs/twitter-bootstrap/4.4.1/css/bootstrap.min.css	(from https://demo.datengdong.com/creamymami)
22:38:03	3504/3504	---M-Z	200	added ('OK')	text/css	etag:%225eb03fd2-db0%22	https://cdnjs.cloudflare.com/ajax/libs/simplelightbox/1.17.3/simplelightbox.min.css	C:/My%20Web%20Sites/weddingfix/cdnjs.cloudflare.com/ajax/libs/simplelightbox/1.17.3/simplelightbox.min.css	(from https://demo.datengdong.com/creamymami)
22:38:03	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/weddingfix/unpkg.com/aos@2.3.1/dist/aos.css	(from https://demo.datengdong.com/creamymami)
22:38:03	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%225eb03cf0-d17%22	https://cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	C:/My%20Web%20Sites/weddingfix/cdnjs.cloudflare.com/ajax/libs/OwlCarousel2/2.3.4/assets/owl.carousel.min.css	(from https://demo.datengdong.com/creamymami)
22:38:04	8978/8978	---M-Z	200	added ('OK')	text/css	date:Thu,%2030%20Sep%202021%2013:01:21%20GMT	https://demo.datengdong.com/themes/creamymami/style.css?v=1.0.5	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/themes/creamymami/style3447.css	(from https://demo.datengdong.com/creamymami)
22:38:04	1040/1040	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Jul%202021%2006:19:40%20GMT	https://demo.datengdong.com/themes/style.css?v=1.2.1	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/themes/style23cd.css	(from https://demo.datengdong.com/creamymami)
22:38:05	3895/3895	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Sep%202021%2013:01:21%20GMT	https://demo.datengdong.com/themes/creamymami/images/flower.png	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/themes/creamymami/images/flower.png	(from https://demo.datengdong.com/creamymami)
22:38:06	4194/4194	---M--	200	added ('OK')	image/png	date:Sun,%2023%20May%202021%2015:26:00%20GMT	https://datengdong.com/image/protocol/masker.png	C:/My%20Web%20Sites/weddingfix/datengdong.com/image/protocol/masker.png	(from https://demo.datengdong.com/creamymami)
22:38:06	3844/3844	---M--	200	added ('OK')	image/png	date:Sun,%2023%20May%202021%2015:26:00%20GMT	https://datengdong.com/image/protocol/distance.png	C:/My%20Web%20Sites/weddingfix/datengdong.com/image/protocol/distance.png	(from https://demo.datengdong.com/creamymami)
22:38:06	4118/4118	---M--	200	added ('OK')	image/png	date:Sun,%2023%20May%202021%2015:26:00%20GMT	https://datengdong.com/image/protocol/salam.png	C:/My%20Web%20Sites/weddingfix/datengdong.com/image/protocol/salam.png	(from https://demo.datengdong.com/creamymami)
22:38:07	6088/6088	---M--	200	added ('OK')	image/png	date:Sun,%2023%20May%202021%2015:26:00%20GMT	https://datengdong.com/image/protocol/wash.png	C:/My%20Web%20Sites/weddingfix/datengdong.com/image/protocol/wash.png	(from https://demo.datengdong.com/creamymami)
22:38:07	2804/2804	---M--	200	added ('OK')	image/png	date:Thu,%2030%20Sep%202021%2013:01:21%20GMT	https://demo.datengdong.com/themes/creamymami/images/flower-2.png	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/themes/creamymami/images/flower-2.png	(from https://demo.datengdong.com/creamymami)
22:38:09	2923/2923	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2014:06:39%20GMT	https://demo.datengdong.com/images/instagram.png	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/images/instagram.png	(from https://demo.datengdong.com/creamymami)
22:38:09	460878/460878	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2019:55:31%20GMT	https://demo.datengdong.com/uploads/thumbs/couple/il0dspbrza.png	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/thumbs/couple/il0dspbrza.png	(from https://demo.datengdong.com/creamymami)
22:38:09	2845/2845	---M--	200	added ('OK')	image/png	date:Sun,%2031%20Jan%202021%2014:06:39%20GMT	https://demo.datengdong.com/images/twitter.png	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/images/twitter.png	(from https://demo.datengdong.com/creamymami)
22:38:10	434075/434075	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Nov%202020%2019:26:30%20GMT	https://demo.datengdong.com/uploads/thumbs/couple/tccbn7tmom.png	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/thumbs/couple/tccbn7tmom.png	(from https://demo.datengdong.com/creamymami)
22:38:11	35029/35029	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2019:21:14%20GMT	https://demo.datengdong.com/uploads/thumbs/gallery/4fbe34d890760848eb7dd0c9529a350f9eb955e4rY.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/thumbs/gallery/4fbe34d890760848eb7dd0c9529a350f9eb955e4rY.jpg	(from https://demo.datengdong.com/creamymami)
22:38:13	530579/530579	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2020:18:53%20GMT	https://demo.datengdong.com/uploads/original/gallery/4fbe34d890760848eb7dd0c9529a350f9eb955e4.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/original/gallery/4fbe34d890760848eb7dd0c9529a350f9eb955e4.jpg	(from https://demo.datengdong.com/creamymami)
22:38:14	33893/33893	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2019:22:33%20GMT	https://demo.datengdong.com/uploads/thumbs/gallery/919581c46f65bdfb61bf87436d6671321c91ca1dFf.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/thumbs/gallery/919581c46f65bdfb61bf87436d6671321c91ca1dFf.jpg	(from https://demo.datengdong.com/creamymami)
22:38:14	852399/852399	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2020:19:59%20GMT	https://demo.datengdong.com/uploads/original/gallery/919581c46f65bdfb61bf87436d6671321c91ca1d.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/original/gallery/919581c46f65bdfb61bf87436d6671321c91ca1d.jpg	(from https://demo.datengdong.com/creamymami)
22:38:14	29842/29842	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2019:23:10%20GMT	https://demo.datengdong.com/uploads/thumbs/gallery/f92dc892d7faba8c2253a2ccfca156ba6ad908adpl.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/thumbs/gallery/f92dc892d7faba8c2253a2ccfca156ba6ad908adpl.jpg	(from https://demo.datengdong.com/creamymami)
22:38:17	549634/549634	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2020:19:47%20GMT	https://demo.datengdong.com/uploads/original/gallery/f92dc892d7faba8c2253a2ccfca156ba6ad908ad.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/original/gallery/f92dc892d7faba8c2253a2ccfca156ba6ad908ad.jpg	(from https://demo.datengdong.com/creamymami)
22:38:17	673651/673651	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2020:26:40%20GMT	https://demo.datengdong.com/uploads/original/gallery/c2e032241e4e2df8bbc07227134055b6ab9c60c7.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/original/gallery/c2e032241e4e2df8bbc07227134055b6ab9c60c7.jpg	(from https://demo.datengdong.com/creamymami)
22:38:17	37034/37034	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2019:23:19%20GMT	https://demo.datengdong.com/uploads/thumbs/gallery/c2e032241e4e2df8bbc07227134055b6ab9c60c7ML.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/thumbs/gallery/c2e032241e4e2df8bbc07227134055b6ab9c60c7ML.jpg	(from https://demo.datengdong.com/creamymami)
22:38:18	40186/40186	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2019:21:27%20GMT	https://demo.datengdong.com/uploads/thumbs/gallery/dd70c04037e4098808d682b9a0cad19a4dcd8bd5bz.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/thumbs/gallery/dd70c04037e4098808d682b9a0cad19a4dcd8bd5bz.jpg	(from https://demo.datengdong.com/creamymami)
22:38:18	22575/22575	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2019:20:54%20GMT	https://demo.datengdong.com/uploads/thumbs/gallery/b764db47f4737e605f7ab557461fb11a0b8834b3gx.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/thumbs/gallery/b764db47f4737e605f7ab557461fb11a0b8834b3gx.jpg	(from https://demo.datengdong.com/creamymami)
22:38:19	637262/637262	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2020:24:39%20GMT	https://demo.datengdong.com/uploads/original/gallery/dd70c04037e4098808d682b9a0cad19a4dcd8bd5.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/original/gallery/dd70c04037e4098808d682b9a0cad19a4dcd8bd5.jpg	(from https://demo.datengdong.com/creamymami)
22:38:19	31483/31483	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2019:23:27%20GMT	https://demo.datengdong.com/uploads/thumbs/gallery/636378ac339e7640b43f9d199426e6f676e51ee6Va.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/thumbs/gallery/636378ac339e7640b43f9d199426e6f676e51ee6Va.jpg	(from https://demo.datengdong.com/creamymami)
22:38:19	459808/459808	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Nov%202020%2020:14:38%20GMT	https://demo.datengdong.com/uploads/original/gallery/636378ac339e7640b43f9d199426e6f676e51ee6.jpg	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/uploads/original/gallery/636378ac339e7640b43f9d199426e6f676e51ee6.jpg	(from https://demo.datengdong.com/creamymami)
22:38:19	6729/6729	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Aug%202021%2001:40:36%20GMT	https://demo.datengdong.com/images/send-w.png	C:/My%20Web%20Sites/weddingfix/demo.datengdong.com/images/send-w.png	(from https://demo.datengdong.com/creamymami)
